data,total_entrez_gene,total_ensembl_gene,total_ensembl_other_gene,total_merged_gene,version_entrez,version_ensembl,version_ensembl_other
2018-01-21,20313133,2273596,0,21686111,20180120,91,None
2018-02-04,20404516,2273596,0,21777526,20180203,91,None
2018-02-11,20527819,2273596,0,21900829,20180210,91,None
2018-02-18,20757784,2273596,0,22130811,20180217,91,None
2018-02-25,20802734,2273596,0,22175758,20180224,91,None
2018-02-26,20802734,2273596,0,22175758,20180224,91,None
2018-03-04,20692425,2273596,0,22065464,20180303,91,None
2018-03-11,20723651,2273596,0,22096690,20180309,91,None
2018-03-18,20763367,2273596,0,22136437,20180316,91,None
2018-03-25,20843363,2273596,0,22216433,20180323,91,None
2018-04-01,20860670,2273596,0,22233758,20180330,91,None
2018-04-09,20824890,2273596,0,22197978,20180406,91,None
2018-04-16,20800583,2273596,0,22173675,20180413,91,None
2018-04-22,20759406,2273596,0,22132511,20180420,91,None
2018-05-01,20862647,2273596,0,22235757,20180427,91,None
2018-05-06,20989521,2273596,0,22362636,20180504,91,None
2018-05-16,21025020,2273596,0,22398135,20180511,91,None
2018-05-20,21036638,2273596,0,22409765,20180518,91,None
2018-05-27,21068841,2349098,0,22464803,20180525,92,None
2018-06-03,21068841,2349098,0,22464803,20180525,92,None
2018-06-10,21084695,2349098,0,22480676,20180608,92,None
2018-06-17,21126107,2349098,0,22522088,20180615,92,None
2018-06-24,21126083,2349098,0,22522064,20180622,92,None
2018-07-01,21132793,2349098,0,22528774,20180629,92,None
2018-07-08,21207104,2349098,0,22603085,20180706,92,None
2018-07-15,21540606,2349098,0,22936587,20180713,92,None
2018-07-22,21548032,2349098,0,22944013,20180720,92,None
2018-07-29,21540528,2395221,0,22956502,20180727,93,None
2018-08-05,21785898,2395221,0,23201875,20180803,93,None
2018-08-12,21826052,2395221,0,23242029,20180810,93,None
2018-08-15,21826052,2395221,0,23242029,20180810,93,None
2018-08-19,21849607,2395221,0,23265584,20180817,93,None
2018-08-26,21849464,2395221,0,23265443,20180824,93,None
2018-09-02,21861038,2395221,0,23277017,20180831,93,None
2018-09-09,21981310,2395221,0,23397289,20180907,93,None
2018-09-16,22085128,2395221,0,23501108,20180914,93,None
2018-09-23,22083846,2395221,0,23499827,20180921,93,None
2018-09-30,22087361,2395221,0,23503343,20180928,93,None
2018-10-08,22253117,3187005,0,24126889,20181008,94,None
2018-10-14,22289977,3187005,0,24163749,20181012,94,None
2018-10-21,22374428,3187005,0,24248214,20181019,94,None
2018-10-28,22397942,3187005,0,24271746,20181026,94,None
2018-11-04,22425597,3187005,0,24299405,20181102,94,None
2018-11-11,22457431,3187005,0,24331239,20181109,94,None
2018-11-18,22492794,3187005,0,24366602,20181116,94,None
2018-11-26,22521690,3187005,0,24395498,20181126,94,None
2018-12-02,22548633,3187005,0,24422441,20181130,94,None
2018-12-09,22628981,3187005,0,24502789,20181207,94,None
2018-12-16,22667999,3187005,0,24541807,20181214,94,None
2018-12-23,22712033,3187005,0,24585841,20181221,94,None
2019-01-06,22832859,3187005,0,24706695,20190104,94,None
2019-01-13,22860803,3412304,0,24687183,20190111,95,None
2019-01-27,22939530,3412304,0,24765910,20190125,95,None
2019-02-03,23056339,3412304,0,24882719,20190201,95,None
2019-02-10,23077720,3412304,0,24904167,20190208,95,None
2019-02-19,23157208,3412304,0,24983644,20190215,95,None
2019-02-24,23171609,3412304,0,24998045,20190222,95,None
2019-03-03,23160331,3412304,0,24986799,20190301,95,None
2019-03-10,23228709,3412304,0,25055177,20190308,95,None
2019-03-18,23367333,3412304,0,25193801,20190318,95,None
2019-03-21,23367333,3412304,4847961,29947669,20190318,95,42
2019-03-24,23410310,3412304,4847961,29990646,20190322,95,42
2019-03-31,23448138,3412304,4847961,30028486,20190329,95,42
2019-04-07,23592908,3412304,4847961,30173256,20190405,95,42
2019-04-14,23733577,4602837,4883535,31199288,20190412,96,43
2019-04-21,23740786,4602837,4883535,31206497,20190419,96,43
